Whitman County, Washington, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198901,31.7,-0.5
198902,24.2,-10.8
198903,40.0,-1.7
198904,50.2,2.4
198905,53.5,-1.9
198906,63.4,1.8
198907,67.5,-2.0
198908,64.8,-4.1
198909,60.8,-0.1
198910,48.4,-0.4
198911,41.0,2.5
198912,32.5,1.3
199001,35.1,2.9
199002,32.8,-2.2
199003,42.6,0.9
199004,50.9,3.1
199005,53.6,-1.8
199006,61.0,-0.6
199007,70.4,0.9
199008,69.0,0.1
199009,65.1,4.2
199010,47.2,-1.6
199011,41.0,2.5
199012,24.1,-7.1
199101,28.4,-3.8
199102,41.9,6.9
199103,39.3,-2.4
199104,47.0,-0.8
199105,52.1,-3.3
199106,57.4,-4.2
199107,67.6,-1.9
199108,70.1,1.2
199109,61.5,0.6
199110,47.5,-1.3
199111,37.8,-0.7
199112,36.0,4.8
199201,35.4,3.2
199202,41.1,6.1
199203,46.3,4.6
199204,50.3,2.5
199205,58.0,2.6
199206,66.2,4.6
199207,67.4,-2.1
199208,68.5,-0.4
199209,58.6,-2.3
199210,50.9,2.1
199211,36.5,-2.0
199212,28.6,-2.6
199301,23.5,-8.7
199302,28.6,-6.4
199303,40.9,-0.8
199304,47.5,-0.3
199305,60.3,4.9
199306,61.0,-0.6
199307,62.2,-7.3
199308,64.8,-4.1
199309,59.6,-1.3
199310,51.5,2.7
199311,31.7,-6.8
199312,33.9,2.7
199401,38.6,6.4
199402,32.7,-2.3
199403,43.7,2.0
199404,51.0,3.2
199405,57.1,1.7
199406,61.3,-0.3
199407,71.4,1.9
199408,69.2,0.3
199409,63.4,2.5
199410,47.9,-0.9
199411,34.8,-3.7
199412,32.7,1.5
199501,33.8,1.6
199502,39.4,4.4
199503,41.8,0.1
199504,46.6,-1.2
199505,56.1,0.7
199506,60.1,-1.5
199507,68.0,-1.5
199508,63.8,-5.1
199509,62.2,1.3
199510,45.8,-3.0
199511,41.9,3.4
199512,32.2,1.0
199601,30.4,-1.8
199602,31.3,-3.7
199603,40.0,-1.7
199604,48.5,0.7
199605,50.7,-4.7
199606,60.4,-1.2
199607,70.2,0.7
199608,68.4,-0.5
199609,56.9,-4.0
199610,48.1,-0.7
199611,36.9,-1.6
199612,30.0,-1.2
199701,30.8,-1.4
199702,35.6,0.6
199703,42.2,0.5
199704,45.2,-2.6
199705,57.5,2.1
199706,60.2,-1.4
199707,67.0,-2.5
199708,70.8,1.9
199709,62.4,1.5
199710,48.4,-0.4
199711,40.9,2.4
199712,31.5,0.3
199801,34.1,1.9
199802,40.2,5.2
199803,42.8,1.1
199804,47.9,0.1
199805,55.1,-0.3
199806,61.5,-0.1
199807,74.0,4.5
199808,70.9,2.0
199809,65.2,4.3
199810,48.6,-0.2
199811,41.5,3.0
199812,30.9,-0.3
199901,35.3,3.1
199902,37.3,2.3
199903,41.6,-0.1
199904,45.5,-2.3
199905,51.3,-4.1
199906,59.5,-2.1
199907,65.8,-3.7
199908,70.9,2.0
199909,58.4,-2.5
199910,49.2,0.4
199911,44.5,6.0
199912,34.8,3.6
200001,31.8,-0.4
200002,37.4,2.4
200003,41.0,-0.7
200004,50.9,3.1
200005,54.4,-1.0
200006,61.0,-0.6
200007,67.2,-2.3
200008,66.7,-2.2
200009,58.0,-2.9
200010,47.9,-0.9
200011,30.3,-8.2
200012,28.7,-2.5
200101,30.6,-1.6
200102,32.6,-2.4
200103,42.6,0.9
200104,45.7,-2.1
200105,56.2,0.8
200106,59.0,-2.6
200107,67.6,-1.9
200108,70.4,1.5
200109,63.5,2.6
200110,48.1,-0.7
200111,42.2,3.7
200112,31.8,0.6
200201,33.8,1.6
200202,34.6,-0.4
200203,37.0,-4.7
200204,46.8,-1.0
200205,52.8,-2.6
200206,62.5,0.9
200207,70.9,1.4
200208,65.4,-3.5
200209,59.6,-1.3
200210,44.5,-4.3
200211,39.4,0.9
200212,36.2,5.0
200301,37.4,5.2
200302,36.0,1.0
200303,43.7,2.0
200304,47.7,-0.1
200305,54.4,-1.0
200306,63.5,1.9
200307,71.6,2.1
200308,69.8,0.9
200309,62.4,1.5
200310,53.2,4.4
200311,33.7,-4.8
200312,33.6,2.4
200401,28.9,-3.3
200402,35.7,0.7
200403,45.5,3.8
200404,50.0,2.2
200405,54.6,-0.8
200406,62.3,0.7
200407,71.2,1.7
200408,70.5,1.6
200409,58.4,-2.5
200410,50.0,1.2
200411,39.0,0.5
200412,35.3,4.1
200501,32.7,0.5
200502,36.5,1.5
200503,43.8,2.1
200504,48.5,0.7
200505,56.8,1.4
200506,60.2,-1.4
200507,69.6,0.1
200508,68.9,0.0
200509,57.1,-3.8
200510,50.6,1.8
200511,36.9,-1.6
200512,28.0,-3.2
200601,38.5,6.3
200602,33.7,-1.3
200603,40.7,-1.0
200604,47.9,0.1
200605,56.2,0.8
200606,63.2,1.6
200607,72.7,3.2
200608,67.8,-1.1
200609,60.7,-0.2
200610,47.2,-1.6
200611,38.8,0.3
200612,31.0,-0.2
200701,26.7,-5.5
200702,36.1,1.1
200703,44.5,2.8
200704,47.3,-0.5
200705,55.6,0.2
200706,61.8,0.2
200707,73.2,3.7
200708,67.1,-1.8
200709,58.9,-2.0
200710,48.3,-0.5
200711,37.5,-1.0
200712,31.3,0.1
200801,27.5,-4.7
200802,36.2,1.2
200803,38.8,-2.9
200804,43.2,-4.6
200805,56.1,0.7
200806,60.1,-1.5
