Date,Value,Anomaly
189501,26.5,-5.7
189502,34.6,-0.4
189503,37.9,-3.8
189504,48.2,0.4
189505,52.3,-3.1
189506,58.7,-2.9
189507,64.4,-5.1
189508,64.4,-4.5
189509,51.2,-9.6
189510,48.4,-0.3
189511,36.9,-1.6
189512,30.2,-1.1
189601,32.6,0.4
189602,38.1,3.1
189603,37.9,-3.8
189604,43.6,-4.2
189605,48.4,-7
189606,60.8,-0.8
189607,70.2,0.7
189608,65.7,-3.2
189609,56,-4.8
189610,48.8,0.1
189611,29.9,-8.6
189612,36.2,4.9
189701,27.8,-4.4
189702,33.4,-1.6
189703,32.6,-9.1
189704,48.9,1.1
189705,59.6,4.2
189706,59.3,-2.3
189707,63,-6.5
189708,68.3,-0.6
189709,56.2,-4.6
189710,47.6,-1.1
189711,35.6,-2.9
189712,29.7,-1.6
189801,25.4,-6.8
189802,37.9,2.9
189803,35.2,-6.5
189804,48.3,0.5
189805,52.8,-2.6
189806,60.8,-0.8
189807,66.3,-3.2
189808,70.1,1.2
189809,58.8,-2
189810,45.6,-3.1
189811,33.5,-5
189812,24.7,-6.6
189901,29.7,-2.5
189902,25.6,-9.4
189903,37.7,-4
189904,45,-2.8
189905,50,-5.4
189906,57.6,-4
189907,66.2,-3.3
189908,59.8,-9.1
189909,61,0.2
189910,45.6,-3.1
189911,44,5.5
189912,33.3,2
190001,34.7,2.5
190002,30.8,-4.2
190003,45.1,3.4
190004,48.9,1.1
190005,55.7,0.3
190006,63.7,2.1
190007,66.7,-2.8
190008,63,-5.9
190009,57.2,-3.6
190010,48.1,-0.6
190011,35.4,-3.1
190012,36.1,4.8
190101,29.3,-2.9
190102,31.6,-3.4
190103,40.7,-1
190104,44.5,-3.3
190105,56.4,1
190106,55.2,-6.4
190107,65,-4.5
190108,70.1,1.2
190109,53.9,-6.9
190110,53.9,5.2
190111,40.8,2.3
190112,32.5,1.2
190201,26.8,-5.4
190202,35.9,0.9
190203,38.5,-3.2
190204,45.4,-2.4
190205,53.3,-2.1
190206,58,-3.6
190207,62.5,-7
190208,64.4,-4.5
190209,56.5,-4.3
190210,51,2.3
190211,36,-2.5
190212,30.4,-0.9
190301,31.3,-0.9
190302,29.2,-5.8
190303,38.2,-3.5
190304,43.9,-3.9
190305,53,-2.4
190306,64.4,2.8
190307,62.8,-6.7
190308,65.2,-3.7
190309,55.3,-5.5
190310,50.1,1.4
190311,37.8,-0.7
190312,31.4,0.1
190401,30.8,-1.4
190402,32.8,-2.2
190403,35.9,-5.8
190404,49.3,1.5
190405,53,-2.4
190406,58.8,-2.8
190407,66.8,-2.7
190408,67.7,-1.2
190409,59.3,-1.5
190410,50.9,2.2
190411,44.1,5.6
190412,33.3,2
190501,31.6,-0.6
190502,30.7,-4.3
190503,43.5,1.8
190504,48.3,0.5
190505,52.6,-2.8
190506,58.5,-3.1
190507,68.5,-1
190508,66,-2.9
190509,59.7,-1.1
190510,42.7,-6
190511,37.9,-0.6
190512,31.8,0.5
190601,31.8,-0.4
190602,35,0
190603,37.2,-4.5
190604,51.1,3.3
190605,54,-1.4
190606,57,-4.6
190607,73.1,3.6
190608,66,-2.9
190609,59.1,-1.7
190610,49.7,1
190611,35.3,-3.2
190612,32.8,1.5
190701,19.2,-13
190702,33.5,-1.5
190703,39.4,-2.3
190704,45.3,-2.5
190705,55.3,-0.1
190706,59,-2.6
190707,67,-2.5
190708,61.7,-7.2
190709,56,-4.8
190710,53.6,4.9
190711,39.9,1.4
190712,33.7,2.4
190801,31.9,-0.3
190802,33,-2
190803,39.4,-2.3
190804,47.8,0
190805,51.6,-3.8
190806,58.6,-3
190807,68.7,-0.8
190808,65.4,-3.5
190809,59,-1.8
190810,47.3,-1.4
190811,40.9,2.4
190812,30,-1.3
190901,21.5,-10.7
190902,35.6,0.6
190903,41.8,0.1
190904,43.6,-4.2
190905,52,-3.4
190906,60.2,-1.4
190907,63.7,-5.8
190908,64.4,-4.5
190909,60.1,-0.7
190910,48.6,-0.1
190911,39.8,1.3
190912,26.7,-4.6
191001,27.1,-5.1
191002,26.7,-8.3
191003,46.2,4.5
191004,51.8,4
191005,57.1,1.7
191006,59.1,-2.5
191007,67.9,-1.6
191008,63.4,-5.5
191009,57.6,-3.2
191010,50.2,1.5
191011,38.8,0.3
191012,34.5,3.2
191101,29.9,-2.3
191102,28.5,-6.5
191103,42.4,0.7
191104,45.7,-2.1
191105,50.8,-4.6
191106,61.2,-0.4
191107,68,-1.5
191108,64,-4.9
191109,54.9,-5.9
191110,46.9,-1.8
191111,35.8,-2.7
191112,31,-0.3
191201,28.2,-4
191202,35.6,0.6
191203,36.9,-4.8
191204,46.8,-1
191205,54.5,-0.9
191206,62.3,0.7
191207,65,-4.5
191208,61.8,-7.1
191209,54.6,-6.2
191210,44.2,-4.5
191211,39.6,1.1
191212,32.6,1.3
191301,24,-8.2
191302,23.1,-11.9
191303,35.2,-6.5
191304,47.2,-0.6
191305,53.9,-1.5
191306,60.7,-0.9
191307,65.3,-4.2
191308,67.1,-1.8
191309,57.7,-3.1
191310,44.4,-4.3
191311,39.6,1.1
191312,29.8,-1.5
191401,35.3,3.1
191402,32.6,-2.4
191403,43.3,1.6
191404,48,0.2
191405,55.9,0.5
191406,58.5,-3.1
191407,69.9,0.4
191408,66.9,-2
191409,56.4,-4.4
191410,49.8,1.1
191411,40.3,1.8
191412,25,-6.3
191501,26.6,-5.6
191502,39,4
191503,44.6,2.9
191504,50.7,2.9
191505,53.1,-2.3
191506,58.3,-3.3
191507,65.9,-3.6
191508,71.5,2.6
191509,56.2,-4.6
191510,49.7,1
191511,34.8,-3.7
191512,31.4,0.1
191601,15,-17.2
191602,31.3,-3.7
191603,41,-0.7
191604,46.9,-0.9
191605,49.7,-5.7
191606,58.1,-3.5
191607,63.4,-6.1
191608,66.4,-2.5
191609,57.7,-3.1
191610,44.9,-3.8
191611,31.7,-6.8
191612,23.9,-7.4
191701,25.3,-6.9
191702,30.5,-4.5
191703,32,-9.7
191704,42.8,-5
191705,51.9,-3.5
191706,57.8,-3.8
191707,69.1,-0.4
191708,68.1,-0.8
191709,61.1,0.3
191710,48.9,0.2
191711,42.6,4.1
191712,38.3,7
191801,32.7,0.5
191802,32.2,-2.8
191803,41.9,0.2
191804,46.9,-0.9
191805,50.9,-4.5
191806,65.7,4.1
191807,69.2,-0.3
191808,64.7,-4.2
191809,63.2,2.4
191810,51.1,2.4
191811,36.4,-2.1
191812,31,-0.3
191901,30.9,-1.3
191902,32.5,-2.5
191903,39.8,-1.9
191904,48.3,0.5
191905,53.5,-1.9
191906,58.5,-3.1
191907,68,-1.5
191908,67.1,-1.8
191909,57.6,-3.2
191910,42.4,-6.3
191911,34.6,-3.9
191912,20.7,-10.6
192001,28.3,-3.9
192002,33.1,-1.9
192003,39.1,-2.6
192004,43.5,-4.3
192005,50.2,-5.2
192006,57.8,-3.8
192007,70.1,0.6
192008,67.3,-1.6
192009,58,-2.8
192010,46.7,-2
192011,37.6,-0.9
192012,33.4,2.1
192101,31.3,-0.9
192102,33.9,-1.1
192103,40.7,-1
192104,44.6,-3.2
192105,54.2,-1.2
192106,63,1.4
192107,66,-3.5
192108,67.4,-1.5
192109,53.3,-7.5
192110,50,1.3
192111,37.2,-1.3
192112,28.4,-2.9
192201,18.9,-13.3
192202,25.3,-9.7
192203,35.1,-6.6
192204,43,-4.8
192205,52.6,-2.8
192206,67,5.4
192207,70.2,0.7
192208,68.2,-0.7
192209,61.3,0.5
192210,50.2,1.5
192211,33.3,-5.2
192212,23.9,-7.4
192301,32.6,0.4
192302,24.5,-10.5
192303,38.4,-3.3
192304,47.3,-0.5
192305,53.8,-1.6
192306,58.9,-2.7
192307,69.3,-0.2
192308,68.2,-0.7
192309,61.5,0.7
192310,48.9,0.2
192311,39.7,1.2
192312,32.8,1.5
192401,25,-7.2
192402,41.1,6.1
192403,39,-2.7
192404,46.4,-1.4
192405,60,4.6
192406,62.4,0.8
192407,68.9,-0.6
192408,66.2,-2.7
192409,60.2,-0.6
192410,48.8,0.1
192411,35.9,-2.6
192412,23.5,-7.8
192501,32.6,0.4
192502,40,5
192503,41.9,0.2
192504,51,3.2
192505,57.4,2
192506,63,1.4
192507,71.4,1.9
192508,67,-1.9
192509,58.5,-2.3
192510,45.7,-3
192511,36.7,-1.8
192512,35.7,4.4
192601,29.5,-2.7
192602,39.7,4.7
192603,43.4,1.7
192604,52.7,4.9
192605,54.7,-0.7
192606,63.1,1.5
192607,70.7,1.2
192608,66.4,-2.5
192609,52.9,-7.9
192610,49,0.3
192611,39.6,1.1
192612,30.3,-1
192701,27,-5.2
192702,35.3,0.3
192703,39,-2.7
