Whitman County, Washington, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198901,37.5,-0.6
198902,31.7,-11.0
198903,48.0,-3.5
198904,62.0,2.7
198905,65.8,-2.3
198906,77.4,2.3
198907,84.5,-1.5
198908,79.1,-6.5
198909,77.4,1.0
198910,60.5,-0.3
198911,47.9,1.8
198912,37.6,0.6
199001,40.1,2.0
199002,40.9,-1.8
199003,54.4,2.9
199004,63.3,4.0
199005,65.0,-3.1
199006,73.4,-1.7
199007,87.1,1.1
199008,84.0,-1.6
199009,83.4,7.0
199010,57.8,-3.0
199011,47.6,1.5
199012,30.8,-6.2
199101,34.3,-3.8
199102,50.7,8.0
199103,48.5,-3.0
199104,58.5,-0.8
199105,62.8,-5.3
199106,69.5,-5.6
199107,83.9,-2.1
199108,86.6,1.0
199109,79.3,2.9
199110,62.0,1.2
199111,43.4,-2.7
199112,41.9,4.9
199201,40.5,2.4
199202,49.0,6.3
199203,59.3,7.8
199204,61.9,2.6
199205,74.1,6.0
199206,81.9,6.8
199207,81.7,-4.3
199208,85.2,-0.4
199209,73.1,-3.3
199210,63.5,2.7
199211,41.9,-4.2
199212,34.8,-2.2
199301,29.9,-8.2
199302,35.9,-6.8
199303,49.7,-1.8
199304,56.5,-2.8
199305,72.9,4.8
199306,73.3,-1.8
199307,73.8,-12.2
199308,80.0,-5.6
199309,76.6,0.2
199310,65.0,4.2
199311,42.1,-4.0
199312,38.0,1.0
199401,44.6,6.5
199402,39.6,-3.1
199403,56.3,4.8
199404,62.6,3.3
199405,70.0,1.9
199406,76.3,1.2
199407,89.2,3.2
199408,86.2,0.6
199409,80.3,3.9
199410,59.9,-0.9
199411,40.4,-5.7
199412,38.6,1.6
199501,40.0,1.9
199502,48.0,5.3
199503,51.4,-0.1
199504,57.9,-1.4
199505,69.3,1.2
199506,72.2,-2.9
199507,82.9,-3.1
199508,79.9,-5.7
199509,77.4,1.0
199510,55.5,-5.3
199511,49.4,3.3
199512,37.6,0.6
199601,36.0,-2.1
199602,40.0,-2.7
199603,49.4,-2.1
199604,59.0,-0.3
199605,61.2,-6.9
199606,74.8,-0.3
199607,87.9,1.9
199608,85.8,0.2
199609,71.0,-5.4
199610,59.1,-1.7
199611,43.7,-2.4
199612,35.8,-1.2
199701,36.9,-1.2
199702,41.9,-0.8
199703,50.6,-0.9
199704,55.8,-3.5
199705,70.1,2.0
199706,72.4,-2.7
199707,82.0,-4.0
199708,87.5,1.9
199709,76.7,0.3
199710,60.1,-0.7
199711,48.7,2.6
199712,37.4,0.4
199801,40.5,2.4
199802,47.6,4.9
199803,52.1,0.6
199804,59.8,0.5
199805,66.4,-1.7
199806,74.3,-0.8
199807,90.1,4.1
199808,88.7,3.1
199809,81.4,5.0
199810,61.2,0.4
199811,47.2,1.1
199812,36.6,-0.4
199901,40.4,2.3
199902,43.3,0.6
199903,50.9,-0.6
199904,57.9,-1.4
199905,64.5,-3.6
199906,72.2,-2.9
199907,82.4,-3.6
199908,86.4,0.8
199909,76.0,-0.4
199910,62.3,1.5
199911,52.9,6.8
199912,38.8,1.8
200001,37.0,-1.1
200002,43.9,1.2
200003,50.2,-1.3
200004,63.5,4.2
200005,66.3,-1.8
200006,74.8,-0.3
200007,83.9,-2.1
200008,84.5,-1.1
200009,70.8,-5.6
200010,59.6,-1.2
200011,37.5,-8.6
200012,33.7,-3.3
200101,35.9,-2.2
200102,40.0,-2.7
200103,53.1,1.6
200104,56.0,-3.3
200105,70.3,2.2
200106,71.7,-3.4
200107,83.4,-2.6
200108,88.2,2.6
200109,79.9,3.5
200110,59.6,-1.2
200111,50.1,4.0
200112,37.5,0.5
200201,39.2,1.1
200202,42.6,-0.1
200203,45.0,-6.5
200204,58.4,-0.9
200205,65.2,-2.9
200206,76.4,1.3
200207,87.7,1.7
200208,82.1,-3.5
200209,75.5,-0.9
200210,59.5,-1.3
200211,48.8,2.7
200212,40.9,3.9
200301,42.5,4.4
200302,43.9,1.2
200303,52.2,0.7
200304,58.3,-1.0
200305,66.7,-1.4
200306,79.1,4.0
200307,90.5,4.5
200308,87.3,1.7
200309,78.1,1.7
200310,67.0,6.2
200311,42.5,-3.6
200312,38.9,1.9
200401,34.4,-3.7
200402,42.9,0.2
200403,57.7,6.2
200404,63.7,4.4
200405,66.3,-1.8
200406,76.4,1.3
200407,88.0,2.0
200408,85.9,0.3
200409,71.6,-4.8
200410,61.8,1.0
200411,46.6,0.5
200412,41.6,4.6
200501,40.0,1.9
200502,48.8,6.1
200503,55.7,4.2
200504,60.8,1.5
200505,68.7,0.6
200506,73.2,-1.9
200507,87.0,1.0
200508,87.3,1.7
200509,72.1,-4.3
200510,61.3,0.5
200511,43.3,-2.8
200512,34.4,-2.6
200601,44.2,6.1
200602,42.6,-0.1
200603,49.5,-2.0
200604,58.7,-0.6
200605,70.3,2.2
200606,77.0,1.9
200607,90.6,4.6
200608,86.0,0.4
200609,76.9,0.5
200610,60.9,0.1
200611,46.2,0.1
200612,37.0,0.0
200701,33.5,-4.6
200702,42.3,-0.4
200703,54.7,3.2
200704,59.1,-0.2
200705,69.6,1.5
200706,75.7,0.6
200707,90.5,4.5
200708,84.3,-1.3
200709,75.4,-1.0
200710,60.0,-0.8
200711,45.8,-0.3
200712,36.8,-0.2
200801,34.5,-3.6
200802,43.3,0.6
200803,47.7,-3.8
200804,54.6,-4.7
200805,68.9,0.8
200806,74.5,-0.6
