Date,Value,Anomaly
198901,2.37,0.2
198902,1.29,-0.29
198903,3.44,1.46
198904,0.76,-0.87
198905,2.03,0.42
198906,0.57,-0.61
198907,0.2,-0.27
198908,2.32,1.83
198909,0.27,-0.32
198910,1.12,-0.37
198911,1.63,-0.56
198912,0.95,-1.44
199001,2.55,0.38
199002,0.99,-0.59
199003,0.94,-1.04
199004,2.41,0.78
199005,2.19,0.58
199006,1.23,0.05
199007,0.61,0.14
199008,0.81,0.32
199009,0.01,-0.58
199010,2.3,0.81
199011,1.79,-0.4
199012,1.6,-0.79
199101,1.56,-0.61
199102,0.84,-0.74
199103,2.24,0.26
199104,1.49,-0.14
199105,2.44,0.83
199106,2.09,0.91
199107,0.37,-0.1
199108,0.61,0.12
199109,0.03,-0.56
199110,0.72,-0.77
199111,2.89,0.7
199112,1.04,-1.35
199201,1.58,-0.59
199202,1.94,0.36
199203,0.37,-1.61
199204,1.66,0.03
199205,0.43,-1.18
199206,0.78,-0.4
199207,1.08,0.61
199208,0.73,0.24
199209,0.91,0.32
199210,0.82,-0.67
199211,3.07,0.88
199212,1.43,-0.96
199301,1.77,-0.4
199302,0.69,-0.89
199303,1.63,-0.35
199304,3.26,1.63
199305,1.79,0.18
199306,1.38,0.2
199307,2,1.53
199308,0.57,0.08
199309,0.06,-0.53
199310,0.74,-0.75
199311,0.8,-1.39
199312,1.91,-0.48
199401,1.81,-0.36
199402,0.6,-0.98
199403,0.61,-1.37
199404,1.37,-0.26
199405,1.93,0.32
199406,0.99,-0.19
199407,0.31,-0.16
199408,0.04,-0.45
199409,0.44,-0.15
199410,2.49,1
199411,3.63,1.44
199412,2.16,-0.23
199501,2.71,0.54
199502,1.74,0.16
199503,2.31,0.33
199504,1.36,-0.27
199505,0.95,-0.66
199506,2.25,1.07
199507,0.93,0.46
199508,0.76,0.27
199509,1.15,0.56
199510,2.09,0.6
199511,2.58,0.39
199512,2.71,0.32
199601,3,0.83
199602,3.13,1.55
199603,1.01,-0.97
199604,3.12,1.49
199605,1.97,0.36
199606,0.72,-0.46
199607,0.17,-0.3
199608,0.15,-0.34
199609,0.8,0.21
199610,2.98,1.49
199611,3.16,0.97
199612,5.16,2.77
199701,2.44,0.27
199702,1.5,-0.08
199703,2.37,0.39
199704,2.24,0.61
199705,1.51,-0.1
199706,0.97,-0.21
